Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
South El Monte city,"8,800","8,100",600,7.2%,0.001788,0.001411
South Gate city,"42,200","38,000","4,200",9.9%,N/A,N/A
South Pasadena city,"14,200","13,300","1,000",6.7%,N/A,N/A
South San Gabriel CDP,"3,600","3,400",200,5.5%,0.000750,0.000446
South San Jose Hills CDP,"9,700","8,700","1,000",10.4%,0.001909,0.002254
South Whittier CDP,"28,500","26,500","1,900",6.7%,0.005836,0.004308
Temple City city,"17,700","16,300","1,400",7.9%,N/A,N/A
Torrance city,"74,800","69,700","5,100",6.8%,N/A,N/A
Val Verde CDP,"1,500","1,400",100,8.8%,0.000310,0.000305
Valinda CDP,"11,300","10,400",900,8.3%,0.002278,0.002097
Vernon city,100,100,0,10.5%,0.000023,0.000027
View Park Windsor Hills CDP,"5,800","5,100",800,13.0%,0.001118,0.001702
Walnut city,"15,400","14,300","1,100",6.8%,N/A,N/A
Walnut Park CDP,"8,100","7,300",800,10.3%,0.001607,0.001874
West Athens CDP,"4,600","4,000",700,14.7%,0.000871,0.001537
West Carson CDP,"11,400","10,500",900,7.7%,0.002304,0.001961
West Covina city,"51,400","46,600","4,700",9.2%,N/A,N/A
West Hollywood city,"25,800","23,400","2,400",9.4%,N/A,N/A
West Puente Valley CDP,"10,700","9,600","1,000",9.5%,0.002120,0.002271
West Whittier Los Nietos CDP,"11,900","11,100",800,6.4%,0.002445,0.001697
Westlake Village city,"3,700","3,600",100,2.8%,0.000786,0.000234
Westmont CDP,"15,300","13,200","2,200",14.3%,0.002892,0.004911
Whittier city,"42,100","38,400","3,700",8.7%,N/A,N/A
Willowbrook CDP,"10,100","8,800","1,300",12.5%,0.001944,0.002826
,,,,,,
,,,,,,
Madera County                                               ,"62,200","56,800","5,500",8.8%,1.000000,1.000000
,,,,,,
Bonadelle Ranchos Madera Ranchos CDP,"2,400","2,300",100,3.3%,0.041281,0.014871
Chowchilla city,"4,700","4,400",300,6.5%,0.077097,0.055110
Madera Acres CDP,"4,300","4,000",200,5.8%,0.070969,0.045050
Madera city,"28,200","25,600","2,500",9.0%,N/A,N/A
Oakhurst CDP,"2,500","2,400",200,6.4%,0.041928,0.029742
Parksdale CDP,"1,000",800,200,18.8%,0.014657,0.035136
Parkwood CDP,"1,200",900,300,21.9%,0.015951,0.046362
Yosemite Lakes CDP,"2,000","1,900",100,6.1%,0.033331,0.022452
,,,,,,
,,,,,,
Mariposa County                                             ,"7,050","6,490",560,7.9%,1.000000,1.000000
,,,,,,
Bootjack CDP,220,210,0,1.9%,0.032528,0.006614
Mariposa CDP,460,440,20,4.3%,0.067756,0.035714
Yosemite Valley CDP,"1,090","1,020",70,6.0%,0.157386,0.116402
,,,,,,
,,,,,,
Mendocino County                                            ,"36,820","34,500","2,320",6.3%,1.000000,1.000000
,,,,,,
Covelo CDP,400,350,50,12.7%,0.010161,0.022185
Fort Bragg city,"2,340","2,230",120,5.0%,0.064559,0.050194
Laytonville CDP,370,320,50,14.4%,0.009160,0.023017
Mendocino CDP,440,430,10,2.1%,0.012419,0.003882
Point Arena city,180,170,10,7.2%,0.004850,0.005824
Ukiah city,"7,030","6,580",450,6.4%,0.190573,0.194953
Willits city,"1,670","1,510",160,9.8%,0.043621,0.070161
,,,,,,
,,,,,,
Merced County                                               ,"115,200","103,300","11,900",10.3%,1.000000,1.000000
,,,,,,
Atwater city,"12,100","10,900","1,200",9.9%,N/A,N/A
Delhi CDP,"5,000","4,500",500,10.0%,0.043440,0.041877
Dos Palos city,"2,500","2,200",300,10.6%,0.021406,0.022013
Gustine city,"2,500","2,100",400,15.8%,0.020167,0.032834
Hilmar Irwin CDP,"2,500","2,300",100,5.6%,0.022709,0.011785
Le Grand CDP,700,600,100,10.1%,0.005712,0.005559
Livingston city,"6,500","5,900",600,9.4%,0.056898,0.051512
Los Banos city,"17,000","14,800","2,200",12.9%,N/A,N/A
Merced city,"35,500","32,300","3,300",9.2%,N/A,N/A
Planada CDP,"1,400","1,200",200,16.4%,0.011211,0.019048
South Dos Palos CDP,500,400,100,16.9%,0.003623,0.006374
Winton CDP,"4,600","4,000",600,13.6%,0.038745,0.053143
,,,,,,
,,,,,,
Stanislaus County                                           ,"240,200","220,200","20,000",8.3%,1.000000,1.000000
,,,,,,
Bret Harte CDP,"1,600","1,300",200,15.3%,0.006026,0.011991
Bystrom CDP,"1,400","1,200",200,15.6%,0.005313,0.010782
Ceres city,"21,300","19,200","2,000",9.6%,N/A,N/A
Denair CDP,"2,400","2,200",100,6.0%,0.010161,0.007064
East Oakdale CDP,"1,000",900,100,5.4%,0.004259,0.002696
Empire CDP,"1,400","1,300",200,13.3%,0.005706,0.009620
Hughson city,"3,300","2,900",400,11.8%,0.013332,0.019519
Keyes CDP,"2,000","1,900",100,5.6%,0.008591,0.005623
Modesto city,"94,300","86,800","7,600",8.0%,N/A,N/A
Newman city,"5,800","5,200",600,10.9%,0.023548,0.031603
Oakdale city,"10,400","9,500","1,000",9.3%,0.042945,0.048241
Patterson city,"10,600","9,800",800,7.1%,0.044643,0.037691
Riverbank city,"10,400","9,700",700,6.8%,0.043879,0.035414
Salida CDP,"7,400","6,700",700,9.3%,0.030505,0.034206
Turlock city,"33,200","30,900","2,300",6.9%,N/A,N/A
Waterford city,"3,700","3,500",300,7.5%,0.015756,0.013989
West Modesto CDP,"2,300","2,100",200,10.7%,0.009320,0.012223
,,,,,,
,,,,,,
Modoc County                                                ,"3,200","2,970",230,7.2%,1.000000,1.000000
,,,,,,
Alturas city,950,830,120,12.2%,0.280655,0.506098
,,,,,,
,,,,,,
Mono County                                                 ,"8,300","7,740",570,6.8%,1.000000,1.000000
,,,,,,
Mammoth Lakes town,"4,770","4,770",0,0.0%,0.616880,0.000000
,,,,,,
,,,,,,
Napa County                                                 ,"68,600","64,400","4,200",6.1%,1.000000,1.000000
,,,,,,
American Canyon city,"11,000","10,400",700,6.0%,0.160976,0.157924
Angwin CDP,"1,600","1,500",200,10.2%,0.022809,0.040244
Calistoga city,"2,200","2,200",100,3.0%,0.033857,0.016098
Deer Park CDP,300,300,0,4.8%,0.004904,0.003886
Napa city,"39,100","36,600","2,500",6.4%,N/A,N/A
St. Helena city,"2,600","2,500",100,3.9%,0.038576,0.024424
Yountville town,"1,500","1,300",100,9.2%,0.020714,0.032473
,,,,,,
,,,,,,
Nevada County                                               ,"47,370","44,690","2,680",5.7%,1.000000,1.000000
,,,,,,
Alta Sierra CDP,"3,970","3,740",230,5.9%,0.083668,0.087169
Grass Valley city,"5,780","5,600",180,3.1%,0.125385,0.067091
Lake of the Pines CDP,"2,020","1,890",140,6.7%,0.042251,0.050441
Lake Wildwood CDP,"1,670","1,570",110,6.4%,0.035063,0.040157
Nevada City city,"1,370","1,330",40,3.0%,0.029672,0.015181
Penn Valley CDP,340,340,0,0.0%,0.007680,0.000000
Truckee town,"9,220","8,670",550,5.9%,0.194014,0.204701
,,,,,,
,,,,,,
Ventura County                                              ,"407,500","382,200","25,200",6.2%,1.000000,1.000000
,,,,,,
Camarillo city,"33,400","31,700","1,700",5.2%,N/A,N/A
Casa Conejo CDP,"1,400","1,400",0,3.4%,0.003618,0.001898
Channel Islands Beach CDP,"1,400","1,400",0,3.3%,0.003577,0.001815
El Rio CDP,"2,900","2,500",400,13.8%,0.006505,0.015720
Fillmore city,"7,700","7,400",400,4.8%,0.019247,0.014689
Meiners Oaks CDP,"1,900","1,800",0,2.6%,0.004801,0.001939
Mira Monte CDP,"3,200","2,900",300,9.6%,0.007483,0.012089
Moorpark city,"18,700","17,800",900,5.0%,N/A,N/A
Oak Park CDP,"6,300","6,000",300,4.8%,0.015719,0.011883
Oak View CDP,"2,900","2,900",0,1.1%,0.007622,0.001238
Ojai city,"3,500","3,200",200,6.7%,0.008468,0.009242
Oxnard city,"97,600","90,300","7,300",7.5%,N/A,N/A
Piru CDP,"1,000",900,100,10.7%,0.002336,0.004250
Port Hueneme city,"10,200","9,400",800,7.8%,0.024526,0.031358
San Buenaventura (Ventura) city,"52,900","49,800","3,100",5.9%,N/A,N/A
Santa Paula city,"13,700","12,300","1,500",10.7%,N/A,N/A
Simi Valley city,"65,200","61,700","3,500",5.3%,N/A,N/A
Thousand Oaks city,"62,000","58,900","3,100",5.0%,N/A,N/A
,,,,,,
,,,,,,
Placer County                                               ,"189,600","180,000","9,600",5.1%,1.000000,1.000000
,,,,,,
Auburn city,"6,200","5,900",300,4.7%,0.032844,0.030110
Colfax city,"1,000","1,000",0,4.7%,0.005473,0.005058
Dollar Point CDP,600,600,0,3.8%,0.003073,0.002288
Foresthill CDP,400,300,0,3.9%,0.001894,0.001445
Granite Bay CDP,"9,900","9,500",400,3.7%,0.052928,0.038540
Kings Beach CDP,"1,900","1,900",0,1.6%,0.010424,0.003252
Lincoln city,"19,400","18,300","1,100",5.6%,N/A,N/A
Loomis town,"2,800","2,700",100,3.9%,0.015009,0.011321
Meadow Vista CDP,"1,500","1,400",100,6.2%,0.007954,0.009756
North Auburn CDP,"5,900","5,800",100,1.7%,0.032225,0.010719
Rocklin city,"34,300","32,700","1,600",4.8%,N/A,N/A
Roseville city,"71,000","67,500","3,500",4.9%,N/A,N/A
Sunnyside Tahoe City CDP,800,800,0,0.0%,0.004677,0.000000
Tahoe Vista CDP,600,600,0,0.0%,0.003428,0.000000
,,,,,,
,,,,,,
Plumas County                                               ,"7,480","6,780",710,9.4%,1.000000,1.000000
,,,,,,
Beckwourth CDP,150,150,0,0.0%,0.021392,0.000000
Belden CDP,0,0,0,0.0%,0.000000,0.000000
Bucks Lake CDP,20,20,0,0.0%,0.002706,0.000000
C Road CDP,30,30,0,0.0%,0.004510,0.000000
Canyondam CDP,0,0,0,0.0%,0.000000,0.000000
Chester CDP,"1,010",980,30,3.2%,0.144201,0.045911
Chilcoot Vinton CDP,110,100,20,13.6%,0.014046,0.021521
Clio CDP,70,40,30,49.3%,0.005155,0.048780
Crescent Mills CDP,30,30,0,0.0%,0.004381,0.000000
Cromberg CDP,110,100,20,14.0%,0.014433,0.022956
Delleker CDP,210,150,60,28.8%,0.022294,0.086083
East Quincy CDP,"1,100","1,080",10,1.3%,0.160052,0.020086
East Shore CDP,40,40,10,11.6%,0.005670,0.007174
Graeagle CDP,160,160,0,0.0%,0.023582,0.000000
Greenhorn CDP,80,80,0,0.0%,0.011985,0.000000
Greenville CDP,410,360,50,13.1%,0.052964,0.076040
Hamilton Branch CDP,120,110,10,7.5%,0.016366,0.012912
Indian Falls CDP,0,0,0,0.0%,0.000000,0.000000
Iron Horse CDP,50,50,0,0.0%,0.007732,0.000000
Johnsville CDP,0,0,0,0.0%,0.000000,0.000000
Keddie CDP,30,20,10,32.1%,0.002835,0.012912
La Porte CDP,0,0,0,0.0%,0.000000,0.000000
Lake Almanor Country Club CDP,150,120,30,21.3%,0.017397,0.045911
Lake Almanor Peninsula CDP,100,90,10,8.7%,0.013918,0.012912
Lake Almanor West CDP,50,50,0,0.0%,0.007732,0.000000
Little Grass Valley CDP,0,0,0,0.0%,0.000000,0.000000
Meadow Valley CDP,150,150,0,0.0%,0.021392,0.000000
Mohawk Vista CDP,30,30,0,0.0%,0.004253,0.000000
Paxton CDP,0,0,0,0.0%,0.000000,0.000000
Plumas Eureka CDP,130,120,20,11.4%,0.017268,0.021521
Portola city,760,690,70,9.7%,0.101289,0.104735
Prattville CDP,10,10,10,46.2%,0.001031,0.008608
Quincy CDP,920,840,80,8.7%,0.124485,0.113343
Spring Garden CDP,0,0,0,0.0%,0.000000,0.000000
Taylorsville CDP,0,0,0,0.0%,0.000000,0.000000
Tobin CDP,0,0,0,0.0%,0.000000,0.000000
Twain CDP,80,60,20,26.5%,0.009021,0.031564
Valley Ranch CDP,0,0,0,0.0%,0.000000,0.000000
Whitehawk CDP,10,10,0,0.0%,0.001289,0.000000
,,,,,,
,,,,,,
Shasta County                                               ,"73,000","68,000","5,000",6.9%,1.000000,1.000000
,,,,,,
Anderson city,"4,200","3,900",300,6.9%,0.057621,0.057072
Burney CDP,"1,000",900,100,13.5%,0.012747,0.026735
Cottonwood CDP,"2,500","2,400",100,3.2%,0.035912,0.015927
Fall River Mills CDP,200,200,0,9.9%,0.003097,0.004551
Redding city,"39,500","37,000","2,500",6.4%,N/A,N/A
Shasta Lake city,"3,900","3,600",300,8.3%,0.053174,0.065226
Shingletown CDP,800,800,0,5.5%,0.011199,0.008722
,,,,,,
,,,,,,
Riverside County                                            ,"1,133,000","1,050,000","83,000",7.3%,1.000000,1.000000
,,,,,,
Banning city,"11,200","10,200","1,100",9.4%,N/A,N/A
Beaumont city,"24,300","22,700","1,500",6.3%,N/A,N/A
Bermuda Dunes CDP,"3,300","3,000",300,7.8%,0.002876,0.003097
Blythe city,"4,700","4,300",400,8.1%,0.004079,0.004535
Cabazon CDP,"1,200","1,200",0,0.0%,0.001181,0.000000
Calimesa city,"4,100","3,900",200,4.7%,0.003743,0.002323
Canyon Lake city,"5,500","5,300",200,4.3%,0.005025,0.002864
Cathedral City city,"27,000","25,100","1,900",6.9%,N/A,N/A
Cherry Valley CDP,"3,500","3,100",500,12.9%,0.002922,0.005494
Coachella city,"20,700","17,900","2,700",13.2%,N/A,N/A
Corona city,"86,200","81,200","5,000",5.8%,N/A,N/A
Desert Hot Springs city,"12,300","11,000","1,300",10.4%,N/A,N/A
East Hemet CDP,"9,000","8,100",900,10.0%,0.007686,0.010804
Eastvale City city,"34,200","32,300","1,900",5.6%,N/A,N/A
El Cerrito CDP,"2,500","2,400",100,3.8%,0.002279,0.001131
Hemet city,"30,600","27,300","3,200",10.6%,N/A,N/A
Highgrove CDP,"3,500","3,300",200,5.4%,0.003155,0.002286
Home Gardens CDP,"6,100","5,800",300,4.4%,0.005532,0.003196
Homeland CDP,"2,800","2,600",300,9.1%,0.002453,0.003110
Idyllwild Pine Cove CDP,"1,300","1,200",100,9.8%,0.001108,0.001524
Indian Wells city,"1,700","1,600",100,5.5%,0.001545,0.001131
Indio city,"41,800","38,400","3,400",8.2%,N/A,N/A
Jurupa Valley city,"50,200","46,700","3,500",7.0%,N/A,N/A
La Quinta city,"19,600","18,300","1,300",6.6%,N/A,N/A
Lake Elsinore city,"30,200","27,900","2,300",7.6%,N/A,N/A
Lakeland Village CDP,"5,400","5,000",300,6.3%,0.004800,0.004081
Lakeview CDP,"1,100","1,100",0,2.9%,0.001033,0.000381
March AFB CDP,200,200,0,0.0%,0.000200,0.000000
Mecca CDP,"2,700","2,300",500,17.2%,0.002166,0.005691
Menifee city,"42,300","39,100","3,200",7.5%,N/A,N/A
Moreno Valley city,"98,800","90,600","8,200",8.3%,N/A,N/A
Murrieta city,"57,000","53,700","3,300",5.8%,N/A,N/A
Norco city,"12,300","11,600",700,5.7%,N/A,N/A
Nuevo CDP,"3,500","3,300",200,5.3%,0.003141,0.002225
Palm Desert city,"25,100","23,500","1,700",6.7%,N/A,N/A
Palm Springs city,"23,500","21,900","1,600",6.7%,N/A,N/A
Perris city,"31,900","28,900","3,000",9.4%,N/A,N/A
Rancho Mirage city,"6,700","6,000",700,10.3%,0.005692,0.008259
Riverside city,"156,800","146,300","10,500",6.7%,N/A,N/A
Romoland CDP,"1,200","1,100",100,5.5%,0.001060,0.000787
San Jacinto city,"20,400","18,400","2,000",9.6%,N/A,N/A
Temecula city,"55,200","52,100","3,100",5.7%,N/A,N/A
Thousand Palms CDP,"3,300","3,100",200,4.9%,0.002952,0.001930
Valle Vista CDP,"8,100","7,500",600,7.4%,0.007104,0.007190
Wildomar city,"17,500","16,400","1,200",6.6%,N/A,N/A
Winchester CDP,"1,300","1,200",100,5.7%,0.001172,0.000910
Woodcrest CDP,"8,700","8,200",500,5.9%,0.007808,0.006170
,,,,,,
,,,,,,
Sacramento County                                           ,"719,700","669,900","49,900",6.9%,1.000000,1.000000
,,,,,,
Arden Arcade CDP,"43,400","40,000","3,400",7.9%,0.059709,0.068768
Carmichael CDP,"35,900","33,600","2,300",6.4%,0.050102,0.046008
Citrus Heights city,"43,400","40,600","2,800",6.5%,N/A,N/A
Elk Grove CDP,"84,600","79,700","4,900",5.8%,N/A,N/A
Fair Oaks CDP,"15,100","14,400",600,4.3%,0.021566,0.012984
Florin CDP,"21,000","18,800","2,200",10.7%,0.028024,0.044880
Folsom city,"38,600","37,000","1,700",4.4%,N/A,N/A
Foothill Farms CDP,"15,500","14,200","1,300",8.3%,0.021186,0.025910
Galt city,"11,600","10,700",900,7.9%,N/A,N/A
Gold River CDP,"3,600","3,500",100,4.1%,0.005165,0.002993
Isleton city,200,200,0,10.8%,0.000296,0.000486
La Riviera CDP,"6,100","5,900",200,3.8%,0.008818,0.004665
North Highlands CDP,"20,800","19,500","1,200",6.0%,0.029146,0.024918
Orangevale CDP,"17,000","16,100",900,5.5%,0.023978,0.018737
Rancho Cordova City,"36,100","33,500","2,500",7.0%,N/A,N/A
Rancho Murieta CDP,"2,400","2,300",100,3.6%,0.003478,0.001749
Rio Linda CDP,"7,000","6,700",300,4.2%,0.010074,0.005967
Rosemont CDP,"11,700","10,900",800,6.9%,0.016263,0.016191
Sacramento city,"239,700","222,100","17,600",7.3%,N/A,N/A
Vineyard CDP,"18,800","17,800","1,000",5.3%,0.026522,0.020001
Walnut Grove CDP,600,600,0,3.1%,0.000854,0.000369
Wilton CDP,"2,600","2,400",100,4.8%,0.003634,0.002449
,,,,,,
,,,,,,
Monterey County                                             ,"212,200","194,700","17,600",8.3%,1.000000,1.000000
,,,,,,
Aromas CDP (Monterey Co),"1,800","1,600",100,6.7%,0.008382,0.006716
Boronda CDP,"1,200","1,000",200,18.9%,0.004921,0.012705
Bradley CDP,0,0,0,0.0%,0.000190,0.000000
Carmel by the Sea city,"1,700","1,700",0,1.9%,0.008625,0.001815
Carmel Valley Village CDP,"2,300","2,000",200,9.9%,0.010453,0.012705
Castroville CDP,"3,000","2,700",300,8.8%,0.014104,0.015156
Chualar CDP,600,600,0,0.0%,0.002950,0.000000
Del Monte Forest CDP,"1,300","1,200",0,3.6%,0.006243,0.002632
Del Rey Oaks city,"1,000",900,100,14.2%,0.004589,0.008440
Elkhorn CDP,600,500,100,18.3%,0.002455,0.006080
Gonzales city,"4,300","4,000",200,5.5%,0.020663,0.013250
Greenfield city,"8,300","8,100",200,2.4%,0.041442,0.011526
King City city,"5,300","5,000",300,6.3%,0.025684,0.019239
Las Lomas CDP,"1,900","1,700",200,9.6%,0.008972,0.010527
Marina city,"12,000","11,300",700,5.7%,N/A,N/A
Monterey city,"15,000","14,300",700,4.7%,N/A,N/A
Moss Landing CDP,0,0,0,0.0%,0.000032,0.000000
Pacific Grove city,"7,800","7,200",600,8.3%,0.036764,0.036755
Pajaro CDP,"1,600","1,200",400,25.9%,0.006201,0.024049
Prunedale CDP,"10,000","9,000","1,000",9.9%,0.046142,0.055994
Salinas city,"77,400","69,400","8,000",10.3%,N/A,N/A
San Ardo CDP,300,300,100,23.7%,0.001328,0.004538
San Lucas CDP,100,100,0,0.0%,0.000653,0.000000
Sand City city,200,200,0,3.6%,0.001106,0.000454
Seaside city,"17,000","16,200",900,5.1%,N/A,N/A
Soledad city,"7,700","6,700","1,000",13.0%,N/A,N/A
Spreckels CDP,100,100,0,0.0%,0.000337,0.000000
,,,,,,
,,,,,,
San Benito County                                           ,"31,800","29,500","2,300",7.3%,1.000000,1.000000
,,,,,,
Hollister city,"20,600","18,900","1,700",8.1%,N/A,N/A
Ridgemark CDP,"1,400","1,300",100,3.7%,0.044457,0.021438
San Juan Bautista city,900,900,0,2.6%,0.031211,0.010929
,,,,,,
,,,,,,
San Bernardino County                                       ,"992,200","918,600","73,600",7.4%,1.000000,1.000000
,,,,,,
Adelanto city,"10,400","8,900","1,500",14.8%,N/A,N/A
Apple Valley town,"30,100","27,500","2,500",8.4%,N/A,N/A
Barstow city,"10,200","9,300",900,9.2%,N/A,N/A
Big Bear City CDP,"5,300","4,900",400,8.1%,0.005304,0.005872
Big Bear Lake city,"2,400","2,200",100,4.8%,0.002439,0.001524
Big River CDP,400,400,0,8.5%,0.000411,0.000477
Bloomington CDP,"9,800","9,300",500,4.9%,0.010172,0.006587
Bluewater CDP,0,0,0,14.0%,0.000041,0.000080
Chino city,"44,400","41,600","2,800",6.3%,N/A,N/A
Chino Hills city,"46,400","44,200","2,300",4.9%,N/A,N/A
Colton city,"25,200","23,200","2,000",7.8%,N/A,N/A
Crestline CDP,"4,500","4,200",300,5.8%,0.004594,0.003526
Fontana city,"102,500","95,200","7,300",7.1%,N/A,N/A
Grand Terrace city,"6,900","6,200",600,9.1%,0.006795,0.008443
Hesperia city,"37,700","34,000","3,700",9.7%,N/A,N/A
Highland city,"25,400","23,400","2,000",7.8%,N/A,N/A
Joshua Tree CDP,"3,100","2,800",300,8.4%,0.003045,0.003473
Lake Arrowhead CDP,"4,400","4,100",300,6.4%,0.004494,0.003844
Lenwood CDP,"1,900","1,800",100,4.8%,0.001939,0.001219
Loma Linda city,"12,500","11,900",700,5.3%,N/A,N/A
Mentone CDP,"4,600","4,400",200,4.0%,0.004825,0.002492
Montclair city,"20,100","18,800","1,300",6.3%,N/A,N/A
Morongo Valley CDP,"1,500","1,400",100,9.7%,0.001482,0.002001
Mountain View Acres CDP,"1,000",900,100,11.2%,0.000988,0.001551
Muscoy CDP,"4,200","3,700",500,11.3%,0.004067,0.006495
Needles city,"1,600","1,400",200,15.0%,0.001506,0.003327
Ontario city,"91,300","85,100","6,200",6.8%,N/A,N/A
Rancho Cucamonga city,"97,800","92,500","5,300",5.4%,N/A,N/A
Redlands city,"36,300","34,300","2,000",5.5%,N/A,N/A
Rialto city,"46,300","42,300","4,000",8.6%,N/A,N/A
Running Springs CDP,"1,800","1,700",100,6.5%,0.001826,0.001591
San Antonio Heights CDP,"1,500","1,500",0,2.2%,0.001624,0.000451
San Bernardino city,"88,100","79,500","8,600",9.8%,N/A,N/A
Searles Valley CDP,500,500,100,11.3%,0.000510,0.000809
Twentynine Palms city,"7,400","6,800",600,8.0%,N/A,N/A
Upland city,"40,600","38,000","2,600",6.4%,N/A,N/A
Victorville city,"48,900","43,600","5,300",10.9%,N/A,N/A
Wrightwood CDP,"2,000","1,900",100,4.6%,0.002025,0.001219
Yucaipa city,"25,900","24,500","1,500",5.7%,N/A,N/A
Yucca Valley town,"9,500","8,500","1,000",10.2%,0.009295,0.013122
,,,,,,
,,,,,,
San Diego County                                            ,"1,547,800","1,447,500","100,300",6.5%,1.000000,1.000000
,,,,,,
Bonita CDP,"6,100","5,600",500,7.9%,0.003888,0.004783
Bostonia CDP,"8,300","7,600",700,8.3%,0.005261,0.006857
Carlsbad city,"53,500","50,600","2,900",5.4%,N/A,N/A
Casa de Oro Mount Helix CDP,"9,100","8,400",700,7.6%,0.005804,0.006894
Chula Vista city,"122,300","113,100","9,200",7.5%,N/A,N/A
Coronado city,"7,800","7,400",400,5.0%,N/A,N/A
Del Mar city,"2,000","2,000",100,2.6%,0.001359,0.000516
El Cajon city,"44,700","40,700","4,000",8.9%,N/A,N/A
Encinitas city,"32,000","30,500","1,500",4.5%,N/A,N/A
Escondido city,"66,900","62,700","4,300",6.4%,N/A,N/A
Fallbrook CDP,"13,600","12,600","1,000",7.3%,0.008700,0.009883
Imperial Beach city,"11,900","10,800","1,100",8.9%,N/A,N/A
La Mesa city,"30,000","28,000","2,000",6.5%,N/A,N/A
Lakeside CDP,"9,300","8,700",600,6.7%,0.005985,0.006232
Lemon Grove city,"12,200","11,100","1,000",8.3%,N/A,N/A
National City city,"24,600","22,300","2,300",9.3%,N/A,N/A
Oceanside city,"80,000","74,500","5,400",6.8%,N/A,N/A
Poway city,"24,500","23,400","1,200",4.7%,N/A,N/A
Ramona CDP,"10,900","10,400",500,4.6%,0.007209,0.005009
San Diego city,"701,300","657,700","43,700",6.2%,N/A,N/A
San Marcos city,"41,600","39,300","2,300",5.6%,N/A,N/A
Santee city,"28,300","26,700","1,600",5.5%,N/A,N/A
Solana Beach city,"5,700","5,500",200,3.4%,0.003785,0.001948
Spring Valley CDP,"15,600","14,400","1,200",7.6%,0.009947,0.011867
Valley Center CDP,"4,700","4,600",200,3.7%,0.003157,0.001739
Vista city,"43,800","40,800","3,000",6.8%,N/A,N/A
,,,,,,
,,,,,,
San Francisco County                                        ,"548,600","520,800","27,800",5.1%,1.000000,1.000000
,,,,,,
San Francisco City and County,"548,600","520,800","27,800",5.1%,1.000000,1.000000
,,,,,,
,,,,,,
San Luis Obispo County                                      ,"135,400","128,200","7,200",5.3%,1.000000,1.000000
,,,,,,
Arroyo Grande city,"8,900","8,600",200,2.4%,0.067389,0.029183
Atascadero city,"14,900","14,100",700,5.0%,N/A,N/A
Cambria CDP,"2,300","2,200",100,5.4%,0.017036,0.017141
Cayucos CDP,"1,000","1,000",0,2.4%,0.007623,0.003258
El Paso de Robles (Paso Robles) city,"15,500","14,700",900,5.6%,N/A,N/A
Grover Beach city,"7,200","6,900",300,3.6%,0.053935,0.035274
Lake Nacimiento CDP,"1,400","1,300",100,7.1%,0.009882,0.013458
Morro Bay city,"5,200","4,700",500,10.1%,0.036569,0.073098
Nipomo CDP,"8,200","7,800",400,4.9%,0.060835,0.055815
Oceano CDP,"3,300","3,200",100,3.2%,0.024674,0.014591
Pismo Beach city,"4,000","3,900",100,2.5%,0.030375,0.013741
San Luis Obispo city,"24,700","23,500","1,200",5.0%,N/A,N/A
San Miguel CDP,"1,400","1,300",100,8.7%,0.010105,0.017141
Shandon CDP,600,500,0,7.0%,0.004226,0.005667
Templeton CDP,"4,100","3,900",300,6.9%,0.030091,0.039524
,,,,,,
,,,,,,
San Mateo County                                            ,"433,400","413,300","20,100",4.6%,1.000000,1.000000
,,,,,,
Atherton town,"3,100","3,000",100,3.3%,0.007207,0.005011
Belmont city,"15,700","15,000",600,4.0%,N/A,N/A
Brisbane city,"2,900","2,600",300,10.4%,0.006381,0.015184
Broadmoor CDP,"2,700","2,500",100,5.5%,0.006122,0.007339
Burlingame city,"17,100","16,400",700,4.0%,N/A,N/A
Daly City city,"62,900","59,200","3,700",5.9%,N/A,N/A
East Palo Alto city,"14,500","13,500",900,6.6%,N/A,N/A
El Granada CDP,"3,400","3,100",300,8.3%,0.007541,0.014071
Foster City city,"18,400","17,800",700,3.6%,N/A,N/A
Half Moon Bay city,"6,500","6,400",100,2.2%,0.015437,0.007137
Hillsborough town,"5,300","5,100",200,4.5%,0.012351,0.011945
Menlo Park city,"19,200","18,600",600,3.3%,N/A,N/A
Millbrae city,"12,800","12,200",600,4.8%,0.029572,0.030825
North Fair Oaks CDP,"7,900","7,400",500,6.6%,0.017814,0.025763
Pacifica city,"23,000","21,900","1,200",5.2%,N/A,N/A
Redwood City city,"48,000","46,100","1,900",3.9%,N/A,N/A
San Bruno city,"26,700","25,400","1,400",5.1%,N/A,N/A
San Carlos city,"16,600","16,000",600,3.7%,N/A,N/A
San Mateo city,"60,900","58,300","2,500",4.2%,N/A,N/A
South San Francisco city,"37,900","35,700","2,200",5.7%,N/A,N/A
West Menlo Park CDP,"1,800","1,700",100,5.8%,0.004187,0.005315
,,,,,,
,,,,,,
Marin County                                                ,"129,500","123,600","5,900",4.5%,1.000000,1.000000
,,,,,,
Corte Madera town,"4,900","4,600",300,5.8%,0.037584,0.048894
Fairfax town,"4,300","3,900",500,10.8%,0.031360,0.079329
Inverness CDP,700,700,100,12.5%,0.005283,0.015781
Larkspur city,"6,600","6,500",100,2.1%,0.052376,0.024095
Mill Valley city,"6,800","6,600",200,3.2%,0.053249,0.036917
Novato city,"26,600","25,400","1,300",4.8%,N/A,N/A
Point Reyes Station CDP,100,100,0,0.0%,0.001110,0.000000
San Anselmo town,"6,800","6,600",300,4.2%,0.052996,0.048330
