Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
El Monte city,"50,400","43,600","6,700",13.4%,N/A,N/A
El Segundo city,"9,400","8,200","1,200",12.5%,0.001895,0.001934
Florence Graham CDP,"28,400","23,900","4,500",15.8%,0.005498,0.007336
Gardena city,"29,800","25,700","4,100",13.8%,N/A,N/A
Glendale city,"101,300","88,400","12,800",12.7%,N/A,N/A
Glendora city,"24,600","22,100","2,500",10.2%,N/A,N/A
Hacienda Heights CDP,"26,200","23,500","2,600",10.0%,0.005411,0.004299
Hawaiian Gardens city,"6,300","5,800",500,8.1%,0.001324,0.000835
Hawthorne city,"43,800","37,400","6,400",14.6%,N/A,N/A
Hermosa Beach city,"10,900","10,000",800,7.7%,0.002303,0.001370
Hidden Hills city,"1,000",900,100,10.4%,0.000200,0.000165
Huntington Park city,"25,300","22,400","2,900",11.5%,N/A,N/A
Industry city,100,100,0,14.0%,0.000026,0.000030
Inglewood city,"52,600","44,300","8,300",15.7%,N/A,N/A
Irwindale city,600,600,100,10.2%,0.000131,0.000106
La Canada Flintridge city,"8,300","7,800",500,5.7%,0.001794,0.000776
La Crescenta Montrose CDP,"9,600","8,300","1,300",13.2%,0.001907,0.002070
La Habra Heights city,"2,500","2,400",100,4.4%,0.000553,0.000183
La Mirada city,"23,200","20,500","2,700",11.5%,N/A,N/A
La Puente city,"18,500","16,200","2,300",12.5%,N/A,N/A
La Verne city,"15,500","13,900","1,600",10.0%,N/A,N/A
Ladera Heights CDP,"3,000","2,500",500,15.7%,0.000578,0.000768
Lake Los Angeles CDP,"3,700","3,100",600,17.0%,0.000708,0.001036
Lakewood city,"41,300","36,400","4,900",11.8%,N/A,N/A
Lancaster city,"63,200","54,100","9,100",14.4%,N/A,N/A
Lawndale city,"16,400","14,100","2,300",14.1%,N/A,N/A
Lennox CDP,"11,200","9,700","1,500",13.4%,0.002236,0.002477
Littlerock CDP,400,300,100,16.4%,0.000078,0.000109
Lomita city,"9,900","9,300",600,5.9%,0.002136,0.000954
Long Beach city,"230,800","201,200","29,600",12.8%,N/A,N/A
Los Angeles city,"2,038,800","1,787,300","251,500",12.3%,N/A,N/A
Lynwood city,"27,700","23,800","3,900",14.1%,N/A,N/A
Malibu city,"5,800","5,400",500,8.1%,0.001233,0.000771
Manhattan Beach city,"18,000","16,800","1,300",7.1%,N/A,N/A
Marina del Rey CDP,"7,000","6,300",700,10.2%,0.001448,0.001169
Mayflower Village CDP,"2,800","2,500",300,10.8%,0.000570,0.000493
Maywood city,"11,800","10,500","1,300",11.1%,N/A,N/A
Monrovia city,"20,900","18,800","2,100",10.0%,N/A,N/A
Montebello city,"28,300","24,600","3,700",13.2%,N/A,N/A
Monterey Park city,"29,400","25,200","4,200",14.3%,N/A,N/A
North El Monte CDP,"1,800","1,700",100,5.6%,0.000386,0.000162
Norwalk city,"49,000","42,600","6,400",13.0%,N/A,N/A
Palmdale city,"61,900","52,700","9,200",14.8%,N/A,N/A
Palos Verdes Estates city,"5,000","4,800",200,4.2%,0.001110,0.000351
Paramount city,"24,000","20,700","3,300",13.7%,N/A,N/A
Pasadena city,"76,400","68,800","7,600",9.9%,N/A,N/A
Pico Rivera city,"29,300","25,600","3,700",12.7%,N/A,N/A
Pomona city,"66,000","57,500","8,500",12.9%,N/A,N/A
Quartz Hill CDP,"4,500","4,000",500,10.7%,0.000918,0.000788
Rancho Palos Verdes city,"18,200","16,700","1,500",8.2%,N/A,N/A
Redondo Beach city,"38,800","35,200","3,600",9.4%,N/A,N/A
Rolling Hills city,500,500,100,10.8%,0.000106,0.000092
Rolling Hills Estates city,"3,100","2,800",300,10.2%,0.000639,0.000517
Rosemead city,"25,400","21,400","4,000",15.7%,N/A,N/A
Rowland Heights CDP,"23,400","21,100","2,300",10.0%,0.004849,0.003823
San Dimas city,"17,000","15,200","1,700",10.2%,N/A,N/A
San Fernando city,"11,600","10,400","1,200",10.7%,0.002383,0.002046
