Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
Marin County                                                ,"130,900","122,000","8,900",6.8%,1.000000,1.000000
,,,,,,
Corte Madera town,"4,800","4,400",400,7.6%,0.036020,0.040427
Fairfax town,"4,600","3,900",700,15.1%,0.031660,0.077296
Inverness CDP,800,600,100,17.2%,0.005291,0.015039
Larkspur city,"6,300","6,000",300,4.8%,0.049355,0.033959
Mill Valley city,"7,100","6,800",200,3.3%,0.056076,0.026197
Novato city,"27,000","25,000","2,000",7.4%,N/A,N/A
Point Reyes Station CDP,100,100,0,0.0%,0.001038,0.000000
San Anselmo town,"7,200","6,700",500,6.7%,0.054707,0.053849
San Rafael city,"30,600","28,500","2,100",6.8%,N/A,N/A
Sausalito city,"3,900","3,600",400,9.0%,0.029307,0.039942
Tamalpais Homestead Valley CDP,"6,000","5,700",300,4.4%,0.046694,0.029754
Tomales CDP,100,100,0,0.0%,0.000954,0.000000
,,,,,,
,,,,,,
Santa Clara County                                          ,"1,025,600","952,500","73,100",7.1%,1.000000,1.000000
,,,,,,
Campbell city,"26,300","24,600","1,700",6.4%,N/A,N/A
Cupertino city,"28,100","26,700","1,400",5.0%,N/A,N/A
East Foothills CDP,"3,600","3,500",100,3.5%,0.003671,0.001729
Gilroy city,"28,600","26,000","2,600",9.1%,N/A,N/A
Los Altos city,"14,100","13,500",600,4.3%,N/A,N/A
Los Gatos town,"15,600","14,700",900,6.0%,N/A,N/A
Milpitas city,"40,700","37,300","3,300",8.2%,N/A,N/A
Morgan Hill city,"24,300","22,500","1,800",7.4%,N/A,N/A
Mountain View city,"49,000","47,000","2,000",4.1%,N/A,N/A
Palo Alto city,"34,600","33,300","1,400",4.0%,N/A,N/A
San Jose city,"546,200","501,300","44,900",8.2%,N/A,N/A
San Martin CDP,"3,600","3,300",300,7.8%,0.003460,0.003795
Santa Clara city,"71,200","66,900","4,200",5.9%,N/A,N/A
Saratoga city,"14,300","13,600",700,4.9%,N/A,N/A
Sunnyvale city,"84,800","80,400","4,400",5.2%,N/A,N/A
,,,,,,
,,,,,,
Santa Cruz County                                           ,"135,100","122,000","13,100",9.7%,1.000000,1.000000
,,,,,,
Aptos CDP,"3,400","3,100",300,7.7%,0.025447,0.019820
Aptos Hills Larkin Valley CDP,700,600,0,4.7%,0.005135,0.002365
Ben Lomond CDP,"3,600","3,300",300,8.7%,0.027154,0.024099
Boulder Creek CDP,"2,700","2,200",500,17.7%,0.018321,0.036599
Capitola city,"5,200","5,100",100,2.6%,0.041566,0.010135
Corralitos CDP,"1,300","1,000",200,18.9%,0.008599,0.018581
Day Valley CDP,"1,500","1,400",100,4.9%,0.011356,0.005518
Felton CDP,"1,900","1,700",200,8.8%,0.013858,0.012387
Freedom CDP,"2,200","1,800",400,16.7%,0.014842,0.027703
Interlaken CDP,"3,500","3,100",400,11.0%,0.025739,0.029505
Live Oak CDP,"8,200","7,700",500,6.1%,0.063016,0.037950
Rio del Mar CDP,"4,300","4,000",300,6.9%,0.033149,0.022748
Santa Cruz city,"31,800","29,300","2,500",7.8%,N/A,N/A
Scotts Valley city,"5,700","5,300",400,7.0%,0.043776,0.030518
Soquel CDP,"5,400","5,000",300,6.2%,0.041252,0.025225
Twin Lakes CDP,"2,500","2,200",300,10.2%,0.018095,0.019032
Watsonville city,"24,400","20,600","3,800",15.6%,N/A,N/A
,,,,,,
,,,,,,
Santa Barbara County                                        ,"218,900","201,100","17,800",8.1%,1.000000,1.000000
,,,,,,
Buellton city,"3,000","2,900",100,1.9%,0.014496,0.003113
Carpinteria city,"6,700","6,300",400,6.6%,0.031299,0.024829
Goleta city,"18,200","17,100","1,100",6.1%,N/A,N/A
Guadalupe city,"3,400","3,200",200,5.6%,0.015975,0.010585
Isla Vista CDP,"9,000","7,200","1,800",20.3%,0.035621,0.102662
Lompoc city,"17,600","15,600","1,900",11.0%,N/A,N/A
Los Alamos CDP,600,600,0,1.4%,0.002886,0.000467
Mission Canyon CDP,"1,500","1,500",0,1.5%,0.007232,0.001245
Mission Hills CDP,"1,900","1,800",200,7.8%,0.008884,0.008484
Montecito CDP,"2,900","2,500",400,12.8%,0.012509,0.020781
Orcutt CDP,"15,600","14,500","1,100",6.9%,0.072053,0.060476
Santa Barbara city,"50,500","46,900","3,600",7.1%,N/A,N/A
Santa Maria city,"49,500","44,300","5,200",10.5%,N/A,N/A
Santa Ynez CDP,"2,200","2,100",0,1.9%,0.010617,0.002335
Solvang city,"2,800","2,600",200,6.2%,0.012966,0.009573
Summerland CDP,300,300,0,0.0%,0.001554,0.000000
Toro Canyon CDP,800,700,100,15.0%,0.003526,0.007005
Vandenberg AFB CDP,900,900,100,7.2%,0.004369,0.003814
Vandenberg Village CDP,"3,800","3,500",300,8.9%,0.017425,0.019225
,,,,,,
,,,,,,
Sonoma County                                               ,"246,200","226,400","19,800",8.0%,1.000000,1.000000
,,,,,,
Bodega Bay CDP,700,500,200,33.6%,0.002072,0.011954
Boyes Hot Springs CDP,"3,500","3,400",100,3.1%,0.014977,0.005448
Cloverdale city,"4,100","4,000",100,2.8%,0.017750,0.005774
Cotati city,"3,900","3,700",200,5.3%,0.016379,0.010409
El Verano CDP,"1,700","1,500",200,14.2%,0.006475,0.012198
Fetters Hot Springs Agua Caliente CDP,"2,000","1,800",100,6.1%,0.008101,0.006018
Forestville CDP,"2,000","1,800",100,6.2%,0.008125,0.006180
Glen Ellen CDP,600,600,0,0.0%,0.002607,0.000000
Graton CDP,700,600,100,15.7%,0.002568,0.005448
Guerneville CDP,"2,300","2,000",300,13.6%,0.008668,0.015532
Healdsburg city,"5,900","5,400",500,9.1%,0.023783,0.027080
Monte Rio CDP,600,400,100,21.9%,0.001906,0.006099
Occidental CDP,500,500,0,0.0%,0.002123,0.000000
Petaluma city,"32,200","29,800","2,400",7.4%,N/A,N/A
Rohnert Park city,"23,000","21,000","2,000",8.8%,N/A,N/A
Santa Rosa city,"86,500","79,100","7,300",8.5%,N/A,N/A
Sebastopol city,"3,800","3,500",400,9.2%,0.015355,0.017809
Sonoma city,"5,300","4,700",600,11.6%,0.020700,0.031227
Windsor town,"13,600","12,500","1,000",7.6%,N/A,N/A
,,,,,,
,,,,,,
Sierra County                                               ,"1,290","1,180",110,8.3%,1.000000,1.000000
,,,,,,
Loyalton city,440,420,20,4.8%,0.354167,0.193878
,,,,,,
,,,,,,
Siskiyou County                                             ,"17,000","15,300","1,700",10.0%,1.000000,1.000000
,,,,,,
Dunsmuir city,760,690,80,10.1%,0.044827,0.045283
McCloud CDP,340,300,30,9.6%,0.019823,0.018868
Mount Shasta city,"1,350","1,290",60,4.7%,0.084413,0.036981
Weed city,"1,010",890,120,11.5%,0.058203,0.067925
Yreka city,"2,930","2,640",280,9.7%,0.172802,0.166038
,,,,,,
,,,,,,
San Joaquin County                                          ,"335,400","296,900","38,500",11.5%,1.000000,1.000000
,,,,,,
August CDP,"2,900","2,600",300,9.5%,0.008921,0.007202
Country Club CDP,"4,500","3,800",700,16.2%,0.012755,0.018965
Escalon city,"3,500","3,100",400,11.4%,0.010438,0.010362
Farmington CDP,100,100,0,0.0%,0.000281,0.000000
French Camp CDP,"1,000",900,100,8.8%,0.003005,0.002241
Garden Acres CDP,"4,700","4,000",700,14.7%,0.013618,0.018124
Kennedy CDP,"1,300",900,400,27.9%,0.003061,0.009122
Lathrop city,"10,200","9,000","1,200",11.7%,N/A,N/A
Lincoln Village CDP,"1,900","1,700",200,11.8%,0.005628,0.005801
Linden CDP,900,800,100,14.7%,0.002720,0.003601
Lockeford CDP,"1,500","1,400",100,9.5%,0.004571,0.003681
Lodi city,"30,300","27,200","3,100",10.3%,N/A,N/A
Manteca city,"39,100","35,200","3,900",10.0%,N/A,N/A
Morada CDP,"1,300","1,300",0,1.5%,0.004471,0.000520
Ripon city,"7,500","7,100",400,5.8%,0.023867,0.011243
Stockton city,"133,000","115,600","17,400",13.1%,N/A,N/A
Taft Mosswood CDP,400,400,100,13.5%,0.001291,0.001560
Tracy city,"45,700","41,200","4,500",9.8%,N/A,N/A
,,,,,,
,,,,,,
Sutter County                                               ,"45,600","40,400","5,200",11.4%,1.000000,1.000000
,,,,,,
Live Oak city,"3,800","3,400",400,10.6%,0.083893,0.077356
Sutter CDP,"1,400","1,200",100,10.9%,0.029851,0.028453
Yuba City city,"31,600","27,900","3,700",11.7%,N/A,N/A
,,,,,,
,,,,,,
Tehama County                                               ,"25,720","23,390","2,340",9.1%,1.000000,1.000000
,,,,,,
Corning city,"3,260","2,990",270,8.3%,0.127811,0.116193
Los Molinos CDP,660,580,80,11.8%,0.024969,0.033375
Manton CDP,60,50,10,18.0%,0.002124,0.004532
Mineral CDP,80,70,10,13.1%,0.003126,0.004532
Rancho Tehama Reserve CDP,620,570,50,7.8%,0.024328,0.020602
Red Bluff city,"5,560","4,970",590,10.7%,0.212416,0.254223
Tehama city,170,160,0,1.2%,0.007014,0.000824
,,,,,,
,,,,,,
Trinity County                                              ,"4,550","4,180",370,8.2%,1.000000,1.000000
,,,,,,
Hayfork CDP,630,590,40,6.4%,0.140711,0.107914
Lewiston CDP,540,520,20,3.7%,0.125447,0.052758
Weaverville CDP,"1,510","1,320",190,12.5%,0.316480,0.505995
,,,,,,
,,,,,,
Tuolumne County                                             ,"20,220","18,080","2,150",10.6%,1.000000,1.000000
,,,,,,
Chinese Camp CDP,60,20,30,60.0%,0.001243,0.015188
Columbia CDP,790,670,120,14.7%,0.037209,0.054070
East Sonora CDP,860,860,0,0.0%,0.047539,0.000000
Jamestown CDP,"1,400","1,240",160,11.1%,0.068726,0.072296
Mi Wuk Village CDP,400,350,50,11.6%,0.019322,0.021264
Mono Vista CDP,"1,820","1,640",180,9.8%,0.090631,0.082625
Sonora city,"1,840","1,630",210,11.5%,0.090105,0.099028
Soulsbyville CDP,860,790,70,7.9%,0.043570,0.031592
Tuolumne City CDP,340,340,0,0.0%,0.018652,0.000000
Twain Harte CDP,990,890,100,10.1%,0.049118,0.046780
,,,,,,
,,,,,,
Solano County                                               ,"202,200","182,500","19,700",9.8%,1.000000,1.000000
,,,,,,
Benicia city,"14,000","13,000","1,100",7.5%,N/A,N/A
Dixon city,"9,600","8,700",900,9.7%,0.047671,0.047113
Elmira CDP,200,100,0,9.3%,0.000745,0.000688
Fairfield city,"52,000","47,100","4,900",9.5%,N/A,N/A
Green Valley CDP,700,700,0,0.0%,0.003782,0.000000
Rio Vista city,"3,300","2,800",600,17.3%,0.015117,0.029216
Suisun City city,"13,800","12,400","1,400",10.1%,N/A,N/A
Vacaville city,"44,600","40,800","3,700",8.4%,N/A,N/A
Vallejo city,"55,200","48,800","6,400",11.6%,N/A,N/A
,,,,,,
,,,,,,
Tulare County                                               ,"202,900","175,600","27,300",13.5%,1.000000,1.000000
,,,,,,
Alpaugh CDP,400,200,200,42.5%,0.001289,0.006134
Cutler CDP,"2,400","1,800",500,21.7%,0.010480,0.018700
Dinuba city,"10,800","9,200","1,500",14.3%,0.052595,0.056298
Ducor CDP,300,200,0,15.4%,0.001224,0.001435
Earlimart CDP,"4,100","3,300",800,19.4%,0.019035,0.029534
East Orosi CDP,200,100,100,51.5%,0.000625,0.004304
East Porterville CDP,"2,300","1,500",800,34.3%,0.008473,0.028495
Exeter city,"4,500","3,500","1,000",21.4%,0.020160,0.035223
Farmersville city,"4,900","4,200",600,13.3%,0.024043,0.023746
Goshen CDP,"2,600","2,300",200,8.8%,0.013270,0.008212
Ivanhoe CDP,"1,900","1,600",300,15.0%,0.009060,0.010240
Lemon Cove CDP,100,100,0,17.4%,0.000326,0.000445
Lindsay city,"5,600","4,300","1,300",22.7%,0.024691,0.046651
London CDP,600,500,100,20.7%,0.002621,0.004403
Pixley CDP,"1,600","1,200",400,23.6%,0.006983,0.013852
Poplar Cotton Center CDP,"1,100",600,500,45.4%,0.003491,0.018700
Porterville city,"25,100","21,000","4,000",16.0%,N/A,N/A
Richgrove CDP,"1,100",600,500,43.0%,0.003459,0.016771
Springville CDP,200,200,0,0.0%,0.000859,0.000000
Strathmore CDP,"1,200",800,400,31.5%,0.004601,0.013604
Terra Bella CDP,"1,100",600,500,43.3%,0.003426,0.016820
Three Rivers CDP,"1,300","1,300",100,5.8%,0.007190,0.002869
Tipton CDP,"1,500","1,300",200,11.7%,0.007413,0.006283
Traver CDP,300,200,0,6.0%,0.001419,0.000594
Tulare city,"28,800","25,800","3,000",10.5%,N/A,N/A
Visalia city,"62,100","55,900","6,200",10.0%,N/A,N/A
Woodlake city,"3,100","2,900",200,7.9%,0.016310,0.009004
Woodville CDP,900,700,200,21.2%,0.003888,0.006728
,,,,,,
,,,,,,
Yolo County                                                 ,"105,000","96,900","8,200",7.8%,1.000000,1.000000
,,,,,,
Davis city,"34,100","32,200","1,800",5.4%,N/A,N/A
Esparto CDP,"1,900","1,800",100,4.5%,0.018711,0.010415
West Sacramento city,"25,200","23,000","2,200",8.9%,N/A,N/A
Winters city,"4,100","4,000",100,2.8%,0.041495,0.014111
Woodland city,"29,800","27,100","2,700",9.1%,N/A,N/A
,,,,,,
,,,,,,
Yuba County                                                 ,"30,800","27,500","3,300",10.7%,1.000000,1.000000
,,,,,,
Beale AFB CDP,200,200,0,4.6%,0.006846,0.002658
Challenge Brownsville CDP,300,300,0,3.6%,0.011522,0.003545
Linda CDP,"8,200","7,000","1,200",15.0%,0.254575,0.375277
Loma Rica CDP,"1,100","1,000",100,12.8%,0.035109,0.043420
Marysville city,"5,200","4,600",600,12.3%,0.166023,0.194506
Olivehurst CDP,"6,400","5,900",500,7.8%,0.214179,0.152858
Wheatland city,"1,600","1,500",100,5.7%,0.056324,0.028356
