City,2015,2016,2017,2018,2019,2020,2021
Dana Point,878541.1,895152.3,975485.6,1057542.8,1038097.1,1078739,1297869.1
Danville,1085157.6,1142651.2,1182580.7,1257311.9,1279227.8,1321394.4,1626074.1
Davenport,658042.3,724501,779558.9,848705.2,888129,915340.3,1064847.6
Davis,570359.2,593084.8,639181.7,674229.4,696489.8,714776.2,792381.7
Del Mar,2435397.3,2595597.1,2682098.4,2780239.7,2740330.7,2797247.1,3281302
Del Monte Forest,1384001.9,1504850.1,1575027.5,1656584.6,1737078.8,1787337.2,2176884.6
Del Rey,183743.7,204860.6,220865.5,237233.6,258610,261626.9,302315
Del Rey Oaks,536176.9,576127.8,619205.1,657101.7,683126.9,695687.2,804713.5
Delano,157315.4,173642.3,187581.4,202324.7,212928.4,227612.2,257364.4
Delhi,183379.8,206166.2,228935.4,247824.1,267562.4,287501.6,337888.2
Denair,291443.3,318055.4,340649.7,367557.2,385680.2,407076.3,481551
Descanso,350150.9,381243.9,418751.5,444749.3,457820,480759.6,552116.1
Desert Hot Springs,154346.4,169235.5,184954.8,211119.1,226822.7,245812.9,300620.3
Diamond Bar,637960.1,635659.4,672870.6,718244.7,717962.2,736413.6,833789.7
Diamond Springs,260515.3,284008.5,314441.6,339098.4,350418.6,361552.5,419117.2
Dillon Beach,739420.7,806614,857676.5,901680.7,904604.5,930878.8,1116186.3
Dinuba,168887.2,179295.8,199234.7,218295.6,231409.5,243913.7,281822.3
Discovery Bay,487042.5,526111.7,557619.8,593227,599719.2,620826.3,756811.5
Dixon,349728.1,377291.4,405106.5,433750.2,449928.5,467876.3,536840.9
Dobbins,238636.8,267260.6,291911,314892.9,326377.5,331672.4,376143
Dorris,69348.6,75196,79387.3,83383.1,92050,96605.3,118847.1
Dos Palos,143986,162492.9,185233.9,207754.5,228302.3,245327.8,294653.8
Douglas City,226288.8,245152.6,270264,283503.5,279928.3,292225.7,341466.1
Downey,454929.4,472769.7,513935.6,566584.8,586799.3,625735.8,712524.5
Downieville,183936.8,187992.6,200335.5,222468.4,240272.8,248575,282180.1
Doyle,80344.1,93469.6,111297.6,133527.4,139608.6,142284.3,168495
Duarte,433627.7,449113.2,482687.2,530012.8,547258.1,574165.2,660211.3
Dublin,839179.8,908009.5,944980.1,1015216.5,982474.4,983875.8,1196555.8
Ducor,105162,117397.8,127797.9,131227.4,154721.7,163890.5,181330.4
Dunlap,221318.5,241793.5,260131.7,272797.3,279644.7,288317.3,347392.8
Dunsmuir,125261.2,133537.3,141582.9,156205.8,177509.9,193748.8,229188.8
Durham,357448.9,385653,412238.5,440356.6,492342.6,524988.5,591884.4
Dutch Flat,211825.8,229986.7,253889.1,276417,286608.1,305932.5,355284.3
Earlimart,114541.8,124364.3,139915,151225.2,164238.9,175219.5,207074
Earp,142424.3,141399.4,153846.7,174263.6,163973.1,170769.6,220727.6
East Los Angeles,310391.3,328757.5,370187.2,427161,455448.2,491675,553499.7
East Palo Alto,592974,715125,802627.7,981578.4,979326.5,987918.9,1012729.7
Eastvale,503197.1,516379.2,541708.4,591177.5,600130.7,625669.9,744595.8
Edwards,56367.9,51894.7,64354.8,78970.6,93255.5,102167.3,133275.5
El Cajon,447612.8,481503,512643.3,539557.8,547622.5,578750.2,680195.8
El Centro,187440.7,204047.8,218048.4,230745.2,247637.3,264802.8,295449.8
El Dorado,354941.2,391229.4,424244.4,455413.9,465810.2,474435.2,554672.1
El Dorado Hills,544108.8,571427.6,600152.2,632901.7,661755.4,680869.2,813564.2
El Monte,403477.8,411630.5,452443.5,510554.8,524498.1,549388.9,622521.5
El Segundo,871661.2,905636.3,996266.5,1170478,1217047.5,1283639.2,1493995.7
Elk Grove,339774.7,367232.6,398365.1,433919.6,444304.4,467706.4,563681
Elverta,257239.8,286589.8,320230.7,348021.4,362188.1,378977.4,445858.8
Emerald Lake Hills,1713927.7,1862997.6,1934794,2126608.5,2100233.4,2104739.9,2392817.3
Emeryville,516615.7,582220.7,615523.8,666295.6,652902.8,660455.5,744687.1
Encinitas,964616.4,1036106.5,1103099.7,1160463.2,1182200.2,1250580.8,1529906.3
Escalon,314516.8,345283.6,375932.6,405475.4,419502,441134.4,523422.7
Escondido,447901.9,481295.7,513135,539146.2,549601.9,578358.5,684718.8
Esparto,237195.1,264571.3,295606.9,325706.1,341480.4,359998.4,414684.7
Etna,169791.4,181456.8,187619.6,197374.6,211849.8,216209.9,256905.7
Eureka,271871.4,291166.1,315214.1,332882.9,350748.5,364481.8,396564.5
Exeter,190800.3,203387.3,223290.5,238188.3,250208,263198,307594.9
Fair Oaks,372623.7,396485.7,424504.1,455015.6,470523.4,492625,572668.3
Fairfax,838277.6,901307.6,955289.1,1020533.6,1022434.4,1028946.4,1182999.9
Fairfield,349577.3,382684,415764.2,451643.5,463813.9,483105.9,561821.2
Fallbrook,483857.7,511470.7,544278.1,578473,581033.8,609921.7,723646.1
Farmersville,120391.7,129740.5,146058.6,160294,171580.1,182343.2,216893.6
Farmington,438912.2,475800.7,521687.1,583409.6,607487.5,610919.6,758934.4
Fawnskin,237081.1,249321.7,271376.6,299704.5,303847.5,305498.1,382697.2
Felton,494155.3,548651.3,599593,646730.5,655823.2,671708.9,768198.2
Ferndale,375006.5,407538.6,450362,472928.3,476581,493335.4,548278.9
Fiddletown,230657.3,261507.8,287638.6,311367.2,320237.5,324842.5,384952.2
Fillmore,378355.9,407810,435257.8,461944.2,476746.4,500015.1,576020.2
Firebaugh,143870.1,160940.1,176898.8,194895.4,206249,217591.9,250385.5
Florence-Graham,243453.5,263717.6,301460.9,355510.6,389189.8,418416.6,471170.1
Florin,187922,218312.2,242202.1,267017.4,278360,299834.6,361909.4
Folsom,457304.7,485875,517634.5,550783.8,569735.3,596729.9,703040.4
Fontana,318313.8,336340.5,360399.7,392610.9,407008.5,429175.6,505519.4
Forbestown,172862,190605.3,204261.4,222524.6,236189.1,247838.4,283108
Forest Falls,178520.9,190156.3,216065.5,247234.5,259923.4,269655.7,315093
Forest Ranch,254513.4,268475.1,286332.7,301243.3,327148.3,336421.7,383398.7
Foresthill,305741.7,335909.2,368992.1,396891.1,403632.9,417942,481714.6
Forestville,409420.9,453662.5,490551.6,532948.3,526126.3,539604.3,585374.5
Fort Bragg,362428.7,391927.6,430405.1,464040.6,487784.8,518354,593822
Fort Jones,165047.4,177125.3,187864.7,199481.1,209605.1,217091.7,266181.6
Fortuna,273539.4,296732.5,325268.3,340698.8,359336.4,370088.4,402783
Foster City,1303894.3,1424537.8,1489446.7,1701275.5,1607063.2,1636384.3,1855949.7
